话题	label	热度	index	在榜日期	在榜时间
阿根廷3-2险胜佛得角	hot	3983466	0	20260705	20260705_00:01:53
官方通报西安赛格商场人员坠楼	hot	3674044	1	20260705	20260705_00:01:53
夫妻月入两万被登记困难职工	hot	3104011	2	20260705	20260705_00:01:53
新能源汽车车船税优惠政策调整	new	3059847	3	20260705	20260705_00:01:53
王力宏演唱会摔倒 面部出血	new	3037766	4	20260705	20260705_00:01:53
云南大理宾川4.4级地震	new	3015684	5	20260705	20260705_00:01:53
iPhone18 Pro Max 银灰色意外泄露	hot	2927357	6	20260705	20260705_00:01:53
葡萄牙 2-1 克罗地亚		2907054	7	20260705	20260705_00:01:53
蒋方舟回应遭清华教授举报论文造假	hot	2822436	8	20260705	20260705_00:01:53
西安赛格回应商户坠亡		2774739	9	20260705	20260705_00:01:53
河南高考 699 分女生要去清华学医		2619423	10	20260705	20260705_00:01:53
北京韩红爱心慈善基金会发说明		2508306	11	20260705	20260705_00:01:53
埃及5-3淘汰澳大利亚		2432792	12	20260705	20260705_00:01:53
BMI 标准下调 你被肥胖了吗		2248783	13	20260705	20260705_00:01:53
阿里内部全面禁用 Claude Code		2063754	14	20260705	20260705_00:01:53
30 岁男子被父母抓去戒网瘾		2059136	15	20260705	20260705_00:01:53
中国男篮 vs 日本男篮 		2029246	16	20260705	20260705_00:01:53
黑龙江一村大面积水稻疑被投毒		1856102	17	20260705	20260705_00:01:53
王楚钦孙颖莎混双获亚军		1855268	18	20260705	20260705_00:01:53
BLG 击败 T1		1812944	19	20260705	20260705_00:01:53
豆包、千问、元宝将下架智能体功能		1801530	20	20260705	20260705_00:01:53
A股交易新规7月6日起施行		1767462	21	20260705	20260705_00:01:53
日本修法断了女天皇之路		1699757	22	20260705	20260705_00:01:53
Tim 和中国 Boy 起冲突		1698634	23	20260705	20260705_00:01:53
索尼2028年起不再生产实体盘		1636874	24	20260705	20260705_00:01:53
哥伦比亚 vs 加纳		1484495	25	20260705	20260705_00:01:53
茉莉奶白创始人将继续上诉		1398552	26	20260705	20260705_00:01:53
河南西瓜大面积滞销		1323207	27	20260705	20260705_00:01:53
高考数据通		1253812	28	20260705	20260705_00:01:53
互联网企业集中释放超20万岗位		1196896	29	20260705	20260705_00:01:53
19岁男生扛楼让离世父母放心		1189713	29	20260705	20260705_00:11:49
云南大理宾川4.4级地震		2028483	16	20260705	20260705_00:21:45
恋与深空		1933792	17	20260705	20260705_00:21:45
