话题	label	热度	index	在榜日期	在榜时间
第一批抱冬瓜睡觉受害者出现	hot	4795630	0	20260810	20260810_00:02:07
台风白海豚	hot	3832472	1	20260810	20260810_00:02:07
新华日报评竹知了事件	hot	3417373	2	20260810	20260810_00:02:07
Zhihu CLI上线	hot	3242535	3	20260810	20260810_00:02:07
网红雅典娜证实被害	hot	3067697	4	20260810	20260810_00:02:07
我国首次证实「胶球」存在	hot	2985021	5	20260810	20260810_00:02:07
定位纠纷致外卖员被砍成植物人	hot	2905426	6	20260810	20260810_00:02:07
雪佛兰退出中国市场	hot	2890448	7	20260810	20260810_00:02:07
上半年国内手机销量TOP30出炉		2726868	8	20260810	20260810_00:02:07
日本一医院错把患者脑部当肿瘤切除		2510807	9	20260810	20260810_00:02:07
梅西父亲去世		2439565	10	20260810	20260810_00:02:07
欢迎来龙餐馆热映		2407894	11	20260810	20260810_00:02:07
温岭全力搜救被卷走9岁男孩		2220140	12	20260810	20260810_00:02:07
古二曝繁花剧组涉偷税吸毒		2194803	13	20260810	20260810_00:02:07
中国富二代在泰国疑遭情杀		2127921	14	20260810	20260810_00:02:07
竹知了视频被投诉下架		2063754	15	20260810	20260810_00:02:07
《凡人修仙》传动画186集评价		1971954	16	20260810	20260810_00:02:07
DeepSeek 将上调 API 服务定价		1941229	17	20260810	20260810_00:02:07
《欢迎来龙餐馆》热映		1920873	18	20260810	20260810_00:02:07
媒体评郑钦文需调整自我认知		1915478	19	20260810	20260810_00:02:07
刚果（金）正式禁止铜钴精矿出口		1872524	20	20260810	20260810_00:02:07
小米徐洁云回应「孩Go」言论		1851918	21	20260810	20260810_00:02:07
第一批抱冬瓜睡觉受害者已出现		1842596	22	20260810	20260810_00:02:07
女子控诉被AI融脸带货内裤		1762020	23	20260810	20260810_00:02:07
直播自杀日本女网红已身亡	hot	1721614	24	20260810	20260810_00:02:07
张本智和卫冕横滨冠军赛		1591038	25	20260810	20260810_00:02:07
齐豫独唱时加的小男孩家长态度		1564222	26	20260810	20260810_00:02:07
BLG 官宣 Flandre 加入		1541657	27	20260810	20260810_00:02:07
女孩只有你自己才是靠山		1514336	28	20260810	20260810_00:02:07
显卡涨价后华硕拒按原价发货		1475739	29	20260810	20260810_00:02:07
日本一医院错把患者脑部当肿瘤切除	hot	2559805	9	20260810	20260810_00:21:29
韩杰医生因漏诊致儿童死亡		1388528	29	20260810	20260810_00:21:29
余承东称手机将大规模涨价	hot	2210312	13	20260810	20260810_00:51:35
樊振东媒体叙事遭质疑	hot	2304339	11	20260810	20260810_01:01:30
直播自杀日本女网红已身亡		1876190	23	20260810	20260810_01:01:30
