话题	label	热度	index	在榜日期	在榜时间
个人房贷最长不超过 40 年	hot	4275861	0	20260829	20260829_00:02:14
吉隆受灾区域附近雪山发生雪崩	new	4270861	1	20260829	20260829_00:02:14
金鹿奖获奖名单	new	4268361	2	20260829	20260829_00:02:14
Zhihu CLI 功能上新	hot	4267111	3	20260829	20260829_00:02:14
中国博士人数疑超驴存栏量	hot	4266799	4	20260829	20260829_00:02:14
出发吧！看山	activity	4266486	5	20260829	20260829_00:02:14
西藏日喀则吉隆口岸发生泥石流	hot	4265861	6	20260829	20260829_00:02:14
刘翔向网友求助职场选择	hot	3496102	7	20260829	20260829_00:02:14
星宇股份劝退应届生补偿方案		3171568	8	20260829	20260829_00:02:14
中国女生在韩失联已遇害		3054783	9	20260829	20260829_00:02:14
研究称中国光伏扩张致鸟类多样性下降		2587330	10	20260829	20260829_00:02:14
四川内江隆昌市发生 5.1 级地震		2345311	11	20260829	20260829_00:02:14
德芙七夕营销翻车		2274625	12	20260829	20260829_00:02:14
比尔盖茨万字长文示警AI时代		2252557	13	20260829	20260829_00:02:14
甲醛白菜被运往江苏安徽多地		2069617	14	20260829	20260829_00:02:14
尼泊尔北部暴发山洪		2043716	15	20260829	20260829_00:02:14
四川一县将低分教师合影称耻辱		1997867	16	20260829	20260829_00:02:14
俄远东化工火灾致中国公民 6 死 9 失联		1960004	17	20260829	20260829_00:02:14
清华美院副教授画展被批丑画		1867650	18	20260829	20260829_00:02:14
许家印被判处无期徒刑		1821013	19	20260829	20260829_00:02:14
博主 -LKs- 去影视飓风体验上班		1706442	20	20260829	20260829_00:02:14
《GTA6》27分钟实机预告		1698634	21	20260829	20260829_00:02:14
君乐宝牛奶在香港被检出菌落超标		1658915	22	20260829	20260829_00:02:14
英伟达2027财年Q2财报		1580487	23	20260829	20260829_00:02:14
景甜	hot	1541872	24	20260829	20260829_00:02:14
钢琴销量暴跌折射消费观念转变		1480137	25	20260829	20260829_00:02:14
中国男篮 vs 卡塔尔男篮		1408871	26	20260829	20260829_00:02:14
商品房重磅新规公布		1385853	27	20260829	20260829_00:02:14
智谱上线 GLM-5.3-Flash		1360473	28	20260829	20260829_00:02:14
孙宇晨 我的女友景甜		1241329	29	20260829	20260829_00:02:14
大学生卖网课赚0元被索赔1万		1283858	29	20260829	20260829_00:22:22
吉隆受灾区域附近雪山发生雪崩	hot	2791416	9	20260829	20260829_01:43:13
孙宇晨	hot	5376470	1	20260829	20260829_02:22:40
金鹿奖获奖名单		1791280	21	20260829	20260829_03:04:00
刘翔向网友求助职场选择		3387227	6	20260829	20260829_03:22:27
曾颖		1891403	19	20260829	20260829_06:42:18
吉隆受灾区域附近雪山发生雪崩		2885237	8	20260829	20260829_07:42:05
艾滋病检测结果不得告知配偶		1772849	22	20260829	20260829_07:42:05
孙宇晨小作文		2295925	13	20260829	20260829_07:51:57
星宇股份		1659523	26	20260829	20260829_08:12:18
地方附加税法征求意见稿出台		1369464	29	20260829	20260829_08:22:23
景甜后背有张继科纹身		1331762	29	20260829	20260829_08:52:17
星宇股份遭投诉欧盟		1287220	29	20260829	20260829_09:22:37
网红小家电集体吃灰		2103471	17	20260829	20260829_09:52:09
孙宇晨起诉景甜涉案三千余万元		1212819	28	20260829	20260829_10:52:20
曾颖 洗内裤文学		1185309	29	20260829	20260829_10:52:20
孙宇晨叫景甜妈妈		1160207	28	20260829	20260829_11:01:53
景甜富豪男友疑似孙宇晨		1128798	29	20260829	20260829_11:01:53
长鑫科技净利润同比扭亏为盈		1106066	28	20260829	20260829_11:22:30
比亚迪上半年营收净利同比回落		1106066	29	20260829	20260829_11:22:30
景甜发文回应孙宇晨起诉		1730291	19	20260829	20260829_11:32:29
曝《青簪行》女主原定景甜后换成杨紫		1114261	28	20260829	20260829_11:32:29
王楚钦孙颖莎等5人放弃亚锦赛	new	3022271	5	20260829	20260829_11:41:59
星宇股份 欧盟投诉成笑料		1110594	29	20260829	20260829_11:52:35
司藤		1108748	28	20260829	20260829_12:22:04
浙江省博将「勾践」写成「句践」		1091304	29	20260829	20260829_12:22:04
包贝尔 出轨	hot	2194250	10	20260829	20260829_12:42:17
孙宇晨回应文章虚构程度		1096215	29	20260829	20260829_12:42:17
海南大学一女研究生失联警方介入		1078863	28	20260829	20260829_13:12:24
伊朗否认刺杀特朗普幼子		1038718	29	20260829	20260829_13:12:24
凡人修仙传		1303651	22	20260829	20260829_13:22:20
deepseek再度调价		988570	29	20260829	20260829_13:52:26
