话题	label	热度	index	在榜日期	在榜时间
笔试第一称被第二名花钱劝弃考	hot	5132455	0	20260807	20260807_01:08:31
周杰伦 刘若雪	hot	5054899	1	20260807	20260807_01:08:31
长鑫拒绝苹果降价要求	hot	3592717	2	20260807	20260807_01:08:31
鸿蒙智行回应「竹知了」事件	hot	3501976	3	20260807	20260807_01:08:31
妈妈罚男孩一次性吃30袋魔芋爽	hot	3462229	4	20260807	20260807_01:08:31
人大教授6年花35万考证莫言家世	hot	3361646	5	20260807	20260807_01:08:31
周杰伦 私生子	hot	3308626	6	20260807	20260807_01:08:31
DeepSeek 将上调 API 服务定价	hot	3143901	7	20260807	20260807_01:08:31
婚外胚胎案丈夫称已销毁胚胎	hot	2952675	8	20260807	20260807_01:08:31
梅姨真实姓名为「谢某梅」		2846085	9	20260807	20260807_01:08:31
44岁爸爸因叛逆期女儿考研上985	hot	2807478	10	20260807	20260807_01:08:31
新华日报评竹知了事件		2409763	11	20260807	20260807_01:08:31
河南带薪错峰休假新政		2360324	12	20260807	20260807_01:08:31
知友邓煜获得菲尔兹奖		2355831	13	20260807	20260807_01:08:31
余承东称手机将大涨价		2269259	14	20260807	20260807_01:08:31
医生韩杰医疗事故获刑不认罪		2100241	15	20260807	20260807_01:08:31
中方反制 7 家美国实体		2096313	16	20260807	20260807_01:08:31
蔡崇信宣布离婚		2043418	17	20260807	20260807_01:08:31
梁文锋幻方量化多只产品收益转负		2001084	18	20260807	20260807_01:08:31
周杰伦公司否认私生子传闻		1934767	19	20260807	20260807_01:08:31
游戏《完蛋！我被男同学包围了》		1932053	20	20260807	20260807_01:08:31
儿科医生韩杰因医疗事故罪被判刑		1913980	21	20260807	20260807_01:08:31
泸溪河被曝用废油做食品		1851498	22	20260807	20260807_01:08:31
日本地震女子逃生后返回商场遇难		1811814	23	20260807	20260807_01:08:31
美债突破 40 万亿美元大关		1795264	24	20260807	20260807_01:08:31
邻车长期压线 女子装护栏		1768691	25	20260807	20260807_01:08:31
教育机构标错学费致考生复读		1748161	26	20260807	20260807_01:08:31
精神小伙一封写给妈妈的信获赞200万		1730238	27	20260807	20260807_01:08:31
好多大学生不懂邮件礼仪		1702832	28	20260807	20260807_01:08:31
第一批抱冬瓜睡觉受害者出现		1629521	29	20260807	20260807_01:08:31
日本网红 mina 在韩国直播时自杀		1599661	29	20260807	20260807_01:23:00
婚外胚胎案丈夫称已销毁胚胎		2966986	8	20260807	20260807_03:07:13
44岁爸爸因叛逆期女儿考研上985		2844310	9	20260807	20260807_03:07:13
长鑫拒绝苹果降价要求		3532019	2	20260807	20260807_05:53:12
人大教授6年花35万考证莫言家世		3356525	6	20260807	20260807_05:53:12
禁止将本书用于人工智能训练		2095225	16	20260807	20260807_05:53:12
鸿蒙智行回应「竹知了」事件		3397605	4	20260807	20260807_06:21:52
DeepSeek 将上调 API 服务定价		3148056	7	20260807	20260807_06:31:52
海口港瞒报危险品		1699364	29	20260807	20260807_06:31:52
恋与深空将永远只有五位男主		2249581	14	20260807	20260807_07:11:52
