话题	label	热度	index	在榜日期	在榜时间
广西洪涝灾害已致 2 人死亡	hot	3596303	0	20260707	20260707_00:02:00
人大通报未发现蒋方舟学术不端	hot	3586303	1	20260707	20260707_00:02:00
中国海军潜射战略导弹试射成功	hot	3444686	2	20260707	20260707_00:02:00
国家一级文物现「TCL 电视」字样	hot	3419628	3	20260707	20260707_00:02:00
湖北黄冈鄂州出现龙卷风	new	3407100	4	20260707	20260707_00:02:00
广西暴雨灾情	hot	3400835	5	20260707	20260707_00:02:00
巴西1-2挪威	hot	3394571	6	20260707	20260707_00:02:00
iPhone18 Pro Max 银灰色意外泄露	hot	3139554	7	20260707	20260707_00:02:00
广西南宁一水库坝体出现缺口	hot	3135465	8	20260707	20260707_00:02:00
十人英格兰3-2淘汰墨西哥		2942729	9	20260707	20260707_00:02:00
印度调查苹果重大泄密事件		2829386	10	20260707	20260707_00:02:00
TSW3:1淘汰TES		2820119	11	20260707	20260707_00:02:00
阿根廷3-2险胜佛得角		2768775	12	20260707	20260707_00:02:00
蒋方舟回应遭清华教授举报论文造假		2667282	13	20260707	20260707_00:02:00
极客湾麒麟9030芯片性能解析		2649760	14	20260707	20260707_00:02:00
美国前锋巴洛贡红牌禁赛被「缓刑」		2549890	15	20260707	20260707_00:02:00
豆包、千问、元宝将下架智能体功能		2500605	16	20260707	20260707_00:02:00
博主花100元请大妈逛超市		2486725	17	20260707	20260707_00:02:00
多益网络徐波称女儿被诱拐走		2365655	18	20260707	20260707_00:02:00
耿同学曝有人美国学术造假后入职浙大清华		2270478	19	20260707	20260707_00:02:00
司晓迪疑曝与鹿晗暧昧照		2264768	20	20260707	20260707_00:02:00
中公教育因股民荒诞赌约涨停		2115561	21	20260707	20260707_00:02:00
奶奶删了 77 万条未读又来 3 万		1887089	22	20260707	20260707_00:02:00
郭宇欣 我和周也还不一定谁蹭谁呢		1811814	23	20260707	20260707_00:02:00
马未都回应观复博物馆疑现被盗佛像		1780346	24	20260707	20260707_00:02:00
高考分数排名		1700597	25	20260707	20260707_00:02:00
中国男篮 vs 日本男篮 		1596574	26	20260707	20260707_00:02:00
赵薇前夫黄有龙曾6天赌光2.8亿		1578706	27	20260707	20260707_00:02:00
美国vs比利时		1527993	28	20260707	20260707_00:02:00
法国1-0巴拉圭		1513521	29	20260707	20260707_00:02:00
葡萄牙vs西班牙		1782742	24	20260707	20260707_00:22:00
佛得角邀国足踢友谊赛被婉拒		1515150	29	20260707	20260707_00:22:00
广西多水库发生险情	hot	2879022	9	20260707	20260707_00:41:44
葡萄牙vs西班牙	hot	3232720	6	20260707	20260707_01:31:57
中公教育		2356008	20	20260707	20260707_01:41:55
字节申请热门网络梗著作权		1561126	29	20260707	20260707_01:41:55
司晓迪疑似发鹿晗		1528784	29	20260707	20260707_02:11:56
海力士撕掉合约，取消价格上限		1494793	29	20260707	20260707_02:51:55
美国球员禁赛缓期1年		1464107	29	20260707	20260707_03:02:09
巴西1-2挪威		3322595	3	20260707	20260707_03:11:55
内马尔宣布退出巴西国家队		1462292	28	20260707	20260707_03:41:49
功夫女足		1438220	29	20260707	20260707_03:41:49
《功夫女足》定档		1411921	28	20260707	20260707_04:12:02
六蓝水库		1388528	29	20260707	20260707_04:12:02
iPhone18 Pro Max 银灰色意外泄露		3070296	6	20260707	20260707_04:42:05
冉莹颖邹市明三次离婚没离成		1358197	29	20260707	20260707_04:42:05
湖北黄冈鄂州出现龙卷风		2186697	20	20260707	20260707_05:02:07
BLG战胜LYON		1352456	29	20260707	20260707_05:22:00
人大通报未发现蒋方舟学术不端		3531138	1	20260707	20260707_06:51:53
孙颖莎冠军		2204501	20	20260707	20260707_06:51:53
世界杯		1671693	26	20260707	20260707_07:02:07
葡萄牙0-1 西班牙	hot	3520952	1	20260707	20260707_07:41:35
中国男篮vs中国台北男篮		1596574	29	20260707	20260707_08:11:57
国家一级文物现「TCL 电视」字样		3214815	5	20260707	20260707_08:31:59
博主李要拍西藏火了将被奖励 50 万		1413439	29	20260707	20260707_08:31:59
老人月入2万与儿媳争财产败诉		1970601	24	20260707	20260707_09:31:53
广西多座水库突发险情		1438508	29	20260707	20260707_10:21:51
雪糕遭大范围滞销		1402707	29	20260707	20260707_10:51:52
