话题	在榜日期	在榜时间	topic_flag	word_scheme	word	icon_desc	flag_desc	is_ad
#杨幂微博QUEEN#	20260206	20260206_00:03:46	no	杨幂微博QUEEN	杨幂微博QUEEN	爆	盛典	no
#微博之夜内场#	20260206	20260206_00:03:46	yes	#微博之夜内场#	微博之夜内场	热	盛典	no
#服务区变身年味驿站#	20260206	20260206_00:03:46	yes	#服务区变身年味驿站#	服务区变身年味驿站			no
#陈芋汐获奖感言#	20260206	20260206_00:03:46	yes	#陈芋汐获奖感言#	陈芋汐获奖感言			no
#周生生涉事挂坠送检结果为足金#	20260206	20260206_00:03:46	yes	#周生生涉事挂坠送检结果为足金#	周生生涉事挂坠送检结果为足金			no
#肖战微博KING#	20260206	20260206_00:03:46	yes	#肖战微博KING#	肖战微博KING	新	盛典	no
#网民造谣重庆一住宅火灾致人伤亡被查#	20260206	20260206_00:03:46	yes		网民造谣重庆一住宅火灾致人伤亡被查	辟谣		yes
#小车起火救3人男子承担事故主要责任#	20260206	20260206_00:03:46	yes	#小车起火救3人男子承担事故主要责任#	小车起火救3人男子承担事故主要责任			no
#A股春节休市安排来了#	20260206	20260206_00:03:46	yes	#A股春节休市安排来了#	A股春节休市安排来了			no
#王者荣耀小马糕#	20260206	20260206_00:03:46	yes	#王者荣耀小马糕#	王者荣耀小马糕			no
#任天堂直面会#	20260206	20260206_00:03:46	yes	#任天堂直面会#	任天堂直面会	新		no
#微博之夜致歉#	20260206	20260206_00:03:46	no	微博之夜致歉	微博之夜致歉	新	盛典	no
#沈腾遗憾错失微博KING#	20260206	20260206_00:03:46	no	沈腾遗憾错失微博KING	沈腾遗憾错失微博KING	新	盛典	no
#爱泼斯坦和女友多张亲密照曝光#	20260206	20260206_00:03:46	yes	#爱泼斯坦和女友多张亲密照曝光#	爱泼斯坦和女友多张亲密照曝光			no
#陈昊宇电梯神图#	20260206	20260206_00:03:46	yes	#陈昊宇电梯神图#	陈昊宇电梯神图	新		no
#肖战第二套#	20260206	20260206_00:03:46	no	肖战第二套	肖战第二套		盛典	no
#哇塞居然是脏话#	20260206	20260206_00:03:46	no	哇塞居然是脏话	哇塞居然是脏话			no
#微博四美#	20260206	20260206_00:03:46	no	微博四美	微博四美	新		no
#萝莉岛幸存者曾每天被侵犯3次#	20260206	20260206_00:03:46	yes	#萝莉岛幸存者曾每天被侵犯3次#	萝莉岛幸存者曾每天被侵犯3次			no
#微博之夜#	20260206	20260206_00:03:46	no	微博之夜	微博之夜		盛典	no
#英皇娱乐酒店卖79公斤黄金赚9020万#	20260206	20260206_00:03:46	yes	#英皇娱乐酒店卖79公斤黄金赚9020万#	英皇娱乐酒店卖79公斤黄金赚9020万			no
#周也牛仔裤 大大方方#	20260206	20260206_00:03:46	no	周也牛仔裤 大大方方	周也牛仔裤 大大方方	新		no
#杨紫 大花气质#	20260206	20260206_00:03:46	no	杨紫 大花气质	杨紫 大花气质	热		no
#美股#	20260206	20260206_00:03:46	no	美股	美股	新		no
#王一博不是走下台是飞下台#	20260206	20260206_00:03:46	yes	#王一博不是走下台是飞下台#	王一博不是走下台是飞下台	新	盛典	no
#江西一烧烤店老板与人冲突时死亡#	20260206	20260206_00:03:46	yes	#江西一烧烤店老板与人冲突时死亡#	江西一烧烤店老板与人冲突时死亡			no
#陈妍希周柯宇 灯暗下来就贴贴#	20260206	20260206_00:03:46	no	陈妍希周柯宇 灯暗下来就贴贴	陈妍希周柯宇 灯暗下来就贴贴		盛典	no
#怪不得这张照片沈腾不发邓超也不发#	20260206	20260206_00:03:46	yes	#怪不得这张照片沈腾不发邓超也不发#	怪不得这张照片沈腾不发邓超也不发	新	盛典	no
#2岁宝宝山东探亲1个月长高4厘米#	20260206	20260206_00:03:46	yes	#2岁宝宝山东探亲1个月长高4厘米#	2岁宝宝山东探亲1个月长高4厘米			no
#知名奶茶列三不买被吐槽教育顾客#	20260206	20260206_00:03:46	yes	#知名奶茶列三不买被吐槽教育顾客#	知名奶茶列三不买被吐槽教育顾客			no
#国家卫健委赴湖北督导调查#	20260206	20260206_00:03:46	yes	#国家卫健委赴湖北督导调查#	国家卫健委赴湖北督导调查	新		no
#娜扎下台摔倒#	20260206	20260206_00:03:46	yes	#娜扎下台摔倒#	娜扎下台摔倒			no
