话题	在榜日期	在榜时间	topic_flag	word_scheme	word	icon_desc	flag_desc	is_ad
#提醒在伊朗的中国公民尽快撤离#	20260228	20260228_00:03:49	yes	#提醒在伊朗的中国公民尽快撤离#	提醒在伊朗的中国公民尽快撤离			no
#21岁女生头晕以为没睡好查出脑梗#	20260228	20260228_00:03:49	yes	#21岁女生头晕以为没睡好查出脑梗#	21岁女生头晕以为没睡好查出脑梗	新		no
#关注2026全国两会#	20260228	20260228_00:03:49	yes	#关注2026全国两会#	关注2026全国两会			no
#反诈老陈因多次违规被罚#	20260228	20260228_00:03:49	yes	#反诈老陈因多次违规被罚#	反诈老陈因多次违规被罚	新		no
#虎跳峡男游客疑因洗杯落水失联#	20260228	20260228_00:03:49	yes	#虎跳峡男游客疑因洗杯落水失联#	虎跳峡男游客疑因洗杯落水失联			no
#伊军方将对美侵略予以毁灭性回应#	20260228	20260228_00:03:49	yes	#伊军方将对美侵略予以毁灭性回应#	伊军方将对美侵略予以毁灭性回应			no
#政府借厕所遭辱骂男子要求公开道歉#	20260228	20260228_00:03:49	yes	#政府借厕所遭辱骂男子要求公开道歉#	政府借厕所遭辱骂男子要求公开道歉			no
#当妈妈把欧洲特产蒸了后#	20260228	20260228_00:03:49	no	当妈妈把欧洲特产蒸了后	当妈妈把欧洲特产蒸了后	新		no
#美国双航母已就位#	20260228	20260228_00:03:49	yes	#美国双航母已就位#	美国双航母已就位			no
#Gucci直播#	20260228	20260228_00:03:49	no	Gucci直播	Gucci直播			no
#美国 伊朗#	20260228	20260228_00:03:49	no	美国 伊朗	美国 伊朗	热		no
#黄金#	20260228	20260228_00:03:49	no	黄金	黄金	热		no
#奥黛丽厚本正完骨变薄本了#	20260228	20260228_00:03:49	yes	#奥黛丽厚本正完骨变薄本了#	奥黛丽厚本正完骨变薄本了	热		no
#杨洋发文回应不让江山争议#	20260228	20260228_00:03:49	yes	#杨洋发文回应不让江山争议#	杨洋发文回应不让江山争议		剧集	no
#高市早苗反对女天皇#	20260228	20260228_00:03:49	yes	#高市早苗反对女天皇#	高市早苗反对女天皇	新		no
#杨幂谷爱凌合照 好娇啊小幂#	20260228	20260228_00:03:49	no	杨幂谷爱凌合照 好娇啊小幂	杨幂谷爱凌合照 好娇啊小幂	新		no
#肖战 这很齐夏#	20260228	20260228_00:03:49	no	肖战 这很齐夏	肖战 这很齐夏			no
#以色列#	20260228	20260228_00:03:49	no	以色列	以色列			no
#无限期退出娱乐圈除非有商务#	20260228	20260228_00:03:49	no	无限期退出娱乐圈除非有商务	无限期退出娱乐圈除非有商务		综艺	no
#柳智敏 我喜欢漂亮女人#	20260228	20260228_00:03:49	no	柳智敏 我喜欢漂亮女人	柳智敏 我喜欢漂亮女人	新		no
#伊朗#	20260228	20260228_00:03:49	no	伊朗	伊朗			no
#王橹杰路透#	20260228	20260228_00:03:49	no	王橹杰路透	王橹杰路透	新		no
#草莓价格跌至1元一斤#	20260228	20260228_00:03:49	yes	#草莓价格跌至1元一斤#	草莓价格跌至1元一斤			no
#曝敖瑞鹏合约到期不续#	20260228	20260228_00:03:49	yes	#曝敖瑞鹏合约到期不续#	曝敖瑞鹏合约到期不续	新		no
#肖战亮相Gucci秀场#	20260228	20260228_00:03:49	yes	#肖战亮相Gucci秀场#	肖战亮相Gucci秀场	新		no
#徐福记回应米兰小伙求代购酥心糖#	20260228	20260228_00:03:49	yes	#徐福记回应米兰小伙求代购酥心糖#	徐福记回应米兰小伙求代购酥心糖	新		no
#Prada晚宴上的谷爱凌#	20260228	20260228_00:03:49	yes	#Prada晚宴上的谷爱凌#	Prada晚宴上的谷爱凌			no
#姐姐姐夫戏份#	20260228	20260228_00:03:49	no	姐姐姐夫戏份	姐姐姐夫戏份	新		no
#中国驻以色列使馆紧急通知#	20260228	20260228_00:03:49	yes	#中国驻以色列使馆紧急通知#	中国驻以色列使馆紧急通知			no
#种地吧#	20260228	20260228_00:03:49	no	种地吧	种地吧		综艺	no
#美伊对峙#	20260228	20260228_00:03:49	yes	#美伊对峙#	美伊对峙	新		no
#吴世勋发合照#	20260228	20260228_00:03:49	no	吴世勋发合照	吴世勋发合照	新		no
#下一个是谁#	20260228	20260228_00:03:49	no	下一个是谁	下一个是谁		综艺	no
#退房的时候前台拿了个徐福记的糖纸#	20260228	20260228_00:03:49	yes	#退房的时候前台拿了个徐福记的糖纸#	退房的时候前台拿了个徐福记的糖纸			no
#Gucci大秀#	20260228	20260228_00:03:49	yes	#Gucci大秀#	Gucci大秀	新		no
#宁艺卓美趋第一#	20260228	20260228_00:03:49	no	宁艺卓美趋第一	宁艺卓美趋第一			no
#有美国入侵伊拉克时的味道了#	20260228	20260228_00:03:49	yes	#有美国入侵伊拉克时的味道了#	有美国入侵伊拉克时的味道了	新		no
#刘雯高开叉亮片裙#	20260228	20260228_00:03:49	yes	#刘雯高开叉亮片裙#	刘雯高开叉亮片裙	新		no
#镖人#	20260228	20260228_00:03:49	no	镖人	镖人		电影	no
#去年59元买的内存卡今年卖197元#	20260228	20260228_00:03:49	yes	#去年59元买的内存卡今年卖197元#	去年59元买的内存卡今年卖197元	新		no
#小徐已成立公司#	20260228	20260228_00:03:49	yes	#小徐已成立公司#	小徐已成立公司			no
#代孕子女落户争议#	20260228	20260228_00:03:49	yes	#代孕子女落户争议#	代孕子女落户争议			no
#美伊战争风险急剧升高#	20260228	20260228_00:03:49	yes	#美伊战争风险急剧升高#	美伊战争风险急剧升高	新		no
#宝可梦风与波#	20260228	20260228_00:03:49	no	宝可梦风与波	宝可梦风与波	新		no
#杨洋的手好肿#	20260228	20260228_00:03:49	yes	#杨洋的手好肿#	杨洋的手好肿			no
#白敬亭章若楠 二搭#	20260228	20260228_00:03:49	no	白敬亭章若楠 二搭	白敬亭章若楠 二搭			no
#育儿嫂看护时刷视频致婴儿病亡#	20260228	20260228_00:03:49	yes	#育儿嫂看护时刷视频致婴儿病亡#	育儿嫂看护时刷视频致婴儿病亡			no
#始祖鸟财报#	20260228	20260228_00:03:49	no	始祖鸟财报	始祖鸟财报			no
#梦溪选错英雄#	20260228	20260228_00:03:49	no	梦溪选错英雄	梦溪选错英雄			no
#苏新皓突袭直播#	20260228	20260228_00:03:49	yes	#苏新皓突袭直播#	苏新皓突袭直播			no
#于适瑷尔博士全球品牌代言人#	20260228	20260228_00:13:50	yes		于适瑷尔博士全球品牌代言人	商		yes
#刘雯好性感#	20260228	20260228_00:13:50	yes	#刘雯好性感#	刘雯好性感	新		no
#柳智敏 我喜欢漂亮女人#	20260228	20260228_00:13:50	no	柳智敏 我喜欢漂亮女人	柳智敏 我喜欢漂亮女人			no
#宝可梦风与波#	20260228	20260228_00:13:50	no	宝可梦风与波	宝可梦风与波			no
#张凌赫对着爱奇艺贴脸开大#	20260228	20260228_00:13:50	no	张凌赫对着爱奇艺贴脸开大	张凌赫对着爱奇艺贴脸开大	新	剧集	no
#张极直播#	20260228	20260228_00:13:50	no	张极直播	张极直播			no
#Gucci大秀#	20260228	20260228_00:13:50	yes	#Gucci大秀#	Gucci大秀			no
#当妈妈把欧洲特产蒸了后#	20260228	20260228_00:23:51	no	当妈妈把欧洲特产蒸了后	当妈妈把欧洲特产蒸了后			no
#王橹杰路透#	20260228	20260228_00:23:51	no	王橹杰路透	王橹杰路透			no
#美伊对峙#	20260228	20260228_00:23:51	yes	#美伊对峙#	美伊对峙			no
#4件父母不要和孩子分享的事#	20260228	20260228_00:33:53	yes	#4件父母不要和孩子分享的事#	4件父母不要和孩子分享的事	新		no
#徐福记回应米兰小伙求代购酥心糖#	20260228	20260228_00:43:53	yes	#徐福记回应米兰小伙求代购酥心糖#	徐福记回应米兰小伙求代购酥心糖			no
