话题	在榜日期	在榜时间	topic_flag	word_scheme	word	icon_desc	flag_desc	is_ad
#日本7.7级地震#	20260421	20260421_00:04:28	yes	#日本7.7级地震#	日本7.7级地震			no
#MCN回应女孩挪用1700万打赏主播#	20260421	20260421_00:04:28	yes	#MCN回应女孩挪用1700万打赏主播#	MCN回应女孩挪用1700万打赏主播			no
#当中文遇上锦绣山河的中国传统色#	20260421	20260421_00:04:28	yes	#当中文遇上锦绣山河的中国传统色#	当中文遇上锦绣山河的中国传统色			no
#19岁女孩挪用1700万当榜一大姐#	20260421	20260421_00:04:28	yes	#19岁女孩挪用1700万当榜一大姐#	19岁女孩挪用1700万当榜一大姐			no
#各国网民线上嘲讽日本人#	20260421	20260421_00:04:28	no	各国网民线上嘲讽日本人	各国网民线上嘲讽日本人			no
#爱奇艺称AI艺人库仅是合作意愿#	20260421	20260421_00:04:28	yes	#爱奇艺称AI艺人库仅是合作意愿#	爱奇艺称AI艺人库仅是合作意愿		综艺	no
#逐玉的成功在于第三集续看率95%#	20260421	20260421_00:04:28	yes	#逐玉的成功在于第三集续看率95%#	逐玉的成功在于第三集续看率95%		剧集	no
#持股市值不到7万元成第8大股东#	20260421	20260421_00:04:28	yes	#持股市值不到7万元成第8大股东#	持股市值不到7万元成第8大股东			no
#华为PuraXMax价格#	20260421	20260421_00:04:28	no	华为PuraXMax价格	华为PuraXMax价格	新		no
#丁俊晖晋级世锦赛16强#	20260421	20260421_00:04:28	no	丁俊晖晋级世锦赛16强	丁俊晖晋级世锦赛16强			no
#爱奇艺股价从46美元跌到1.4美元#	20260421	20260421_00:04:28	no	爱奇艺股价从46美元跌到1.4美元	爱奇艺股价从46美元跌到1.4美元	热		no
#曝王楚然早就融了AI#	20260421	20260421_00:04:28	yes	#曝王楚然早就融了AI#	曝王楚然早就融了AI	热		no
#郭富城买了让女友痛哭流涕的礼物#	20260421	20260421_00:04:28	no	郭富城买了让女友痛哭流涕的礼物	郭富城买了让女友痛哭流涕的礼物	热		no
#宝妈拆快递剪断7个月宝宝食指#	20260421	20260421_00:04:28	yes	#宝妈拆快递剪断7个月宝宝食指#	宝妈拆快递剪断7个月宝宝食指			no
#叶祖新的脸怎么了#	20260421	20260421_00:04:28	yes	#叶祖新的脸怎么了#	叶祖新的脸怎么了	热		no
#田曦薇 想跑路可以直说#	20260421	20260421_00:04:28	no	田曦薇 想跑路可以直说	田曦薇 想跑路可以直说	热		no
#天津市血液中心称已报警#	20260421	20260421_00:04:28	yes	#天津市血液中心称已报警#	天津市血液中心称已报警			no
#易梦玲是瘦了还是do脸了#	20260421	20260421_00:04:28	yes	#易梦玲是瘦了还是do脸了#	易梦玲是瘦了还是do脸了	热		no
#爱奇艺顶级IP赚了118亿#	20260421	20260421_00:04:28	yes	#爱奇艺顶级IP赚了118亿#	爱奇艺顶级IP赚了118亿		剧集	no
#长期使用空气炸锅的人都怎么样了#	20260421	20260421_00:04:28	yes	#长期使用空气炸锅的人都怎么样了#	长期使用空气炸锅的人都怎么样了			no
#时代峰峻大楼被雷劈了#	20260421	20260421_00:04:28	no	时代峰峻大楼被雷劈了	时代峰峻大楼被雷劈了			no
#招财俊宝 SK狐狸#	20260421	20260421_00:04:28	no	招财俊宝 SK狐狸	招财俊宝 SK狐狸			no
#东莞一男子把唇上肿瘤当痘痘挤了8年#	20260421	20260421_00:04:28	yes	#东莞一男子把唇上肿瘤当痘痘挤了8年#	东莞一男子把唇上肿瘤当痘痘挤了8年	新		no
#备孕女子花2.3万治HPV最终子宫切除#	20260421	20260421_00:04:28	yes	#备孕女子花2.3万治HPV最终子宫切除#	备孕女子花2.3万治HPV最终子宫切除			no
#爱奇艺#	20260421	20260421_00:04:28	no	爱奇艺	爱奇艺		综艺	no
#上海男篮vs辽宁男篮#	20260421	20260421_00:04:28	yes	#上海男篮vs辽宁男篮#	上海男篮vs辽宁男篮	新		no
#颖儿付辛博女儿近照#	20260421	20260421_00:04:28	yes	#颖儿付辛博女儿近照#	颖儿付辛博女儿近照			no
